City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Baoro,CF,5.6667,15.9667,67.89,95,57,3.15,broken clouds
328,Kimbe,PG,-5.5502,150.1429,74.89,91,89,3.96,overcast clouds
329,Shar,KZ,49.5886,81.0453,28.36,60,46,5.19,scattered clouds
330,Jiaocheng,CN,24.6774,116.1389,74.66,93,100,1.59,overcast clouds
331,Lata,PT,40.1629,-8.3327,61.81,88,34,5.77,scattered clouds
332,Baringo,KE,0.4667,35.9667,78.66,40,100,2.33,overcast clouds
333,Portland,US,45.5234,-122.6762,67.8,88,75,4.61,broken clouds
334,Sola,VU,-13.8833,167.55,80.19,64,62,14.74,broken clouds
335,Marsa Matruh,EG,31.3525,27.2453,84.4,65,0,14.97,clear sky
336,Adrar,MR,20.5022,-10.0711,94.68,18,6,14.74,clear sky
337,Tank,PK,32.2217,70.3793,87.53,28,0,3.49,clear sky
338,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,70,88,3.74,overcast clouds
339,Tazovskiy,RU,67.4667,78.7,32.97,76,100,9.19,overcast clouds
340,Kysyl-Syr,RU,63.8986,122.7617,24.01,96,84,4.07,broken clouds
341,Hambantota,LK,6.1241,81.1185,79.39,82,99,18.68,overcast clouds
342,Manadhoo,MV,5.7667,73.3833,80.92,76,100,11.16,heavy intensity rain
343,Moroto,UG,2.5345,34.6666,72.05,52,59,1.83,light rain
